BOROUGH,LATITUDE,LONGITUDE,NTA
MANHATTAN,40.762074,-73.986275,Clinton
MANHATTAN,40.714529,-74.015677,Battery Park City-Lower Manhattan
MANHATTAN,40.765616,-73.978192,Midtown-Midtown South
MANHATTAN,40.775792,-73.960389,Upper East Side-Carnegie Hill
MANHATTAN,40.768985,-73.954696,Lenox Hill-Roosevelt Island
MANHATTAN,40.706251,-74.012952,Battery Park City-Lower Manhattan
MANHATTAN,40.783411,-73.947229,Yorkville
MANHATTAN,40.74482,-73.985113,Midtown-Midtown South
MANHATTAN,40.751394,-73.986635,Midtown-Midtown South
BROOKLYN,40.695003,-73.983249,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MANHATTAN,40.747226,-74.003046,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.780004,-73.94426,Yorkville
MANHATTAN,40.80072,-73.971173,Upper West Side
MANHATTAN,40.767255,-73.968441,Upper East Side-Carnegie Hill
MANHATTAN,40.710031,-74.011463,Battery Park City-Lower Manhattan
MANHATTAN,40.766737,-73.961387,Lenox Hill-Roosevelt Island
MANHATTAN,40.739172,-73.991303,Hudson Yards-Chelsea-Flatiron-Union Square
BRONX,40.907828,-73.906568,North Riverdale-Fieldston-Riverdale
MANHATTAN,40.746672,-73.979515,Murray Hill-Kips Bay
MANHATTAN,40.745228,-73.976921,Murray Hill-Kips Bay
MANHATTAN,40.774267,-73.963328,Upper East Side-Carnegie Hill
MANHATTAN,40.717906,-74.003135,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.77052,-73.99187,Clinton
MANHATTAN,40.740735,-73.975717,Murray Hill-Kips Bay
BRONX,40.879885,-73.880481,Norwood
MANHATTAN,40.746162,-73.979129,Murray Hill-Kips Bay
BRONX,40.885015,-73.891625,Van Cortlandt Village
MANHATTAN,40.706315,-74.007895,Battery Park City-Lower Manhattan
MANHATTAN,40.714582,-74.010569,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.78023,-73.961151,Upper East Side-Carnegie Hill
MANHATTAN,40.752152,-73.991287,Midtown-Midtown South
MANHATTAN,40.751754,-73.990075,Midtown-Midtown South
MANHATTAN,40.708351,-74.014323,Battery Park City-Lower Manhattan
BRONX,40.833133,-73.909131,Claremont-Bathgate
MANHATTAN,40.758814,-73.973989,Midtown-Midtown South
MANHATTAN,40.775292,-73.960754,Upper East Side-Carnegie Hill
QUEENS,40.705199,-73.799253,Jamaica
MANHATTAN,40.734426,-73.987714,Gramercy
MANHATTAN,40.77524,-73.982186,Lincoln Square
MANHATTAN,40.738859,-73.99266,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.779137,-73.978776,Upper West Side
BROOKLYN,40.692671,-73.991785,Brooklyn Heights-Cobble Hill
MANHATTAN,40.745817,-73.972016,Turtle Bay-East Midtown
MANHATTAN,40.801952,-73.968728,Morningside Heights
MANHATTAN,40.772654,-73.966886,Upper East Side-Carnegie Hill
MANHATTAN,40.760691,-73.97262,Midtown-Midtown South
MANHATTAN,40.780374,-73.975764,Upper West Side
MANHATTAN,40.764538,-73.979813,Midtown-Midtown South
MANHATTAN,40.857442,-73.92782,Washington Heights North
MANHATTAN,40.774267,-73.963285,Upper East Side-Carnegie Hill
BRONX,40.87503,-73.865715,Williamsbridge-Olinville
MANHATTAN,40.77422,-73.989237,Lincoln Square
MANHATTAN,40.752703,-73.985671,Midtown-Midtown South
MANHATTAN,40.805364,-73.941844,East Harlem North
MANHATTAN,40.778219,-73.974509,Upper West Side
MANHATTAN,40.744257,-73.980512,Murray Hill-Kips Bay
BROOKLYN,40.674831,-73.969065,Prospect Heights
BRONX,40.849265,-73.900889,Mount Hope
MANHATTAN,40.786647,-73.952149,East Harlem South
BRONX,40.837755,-73.859639,Parkchester
MANHATTAN,40.789844,-73.978018,Upper West Side
MANHATTAN,40.755015,-73.991395,Midtown-Midtown South
BRONX,40.853212,-73.918082,University Heights-Morris Heights
MANHATTAN,40.777581,-73.979213,Lincoln Square
MANHATTAN,40.768069,-73.963935,Upper East Side-Carnegie Hill
MANHATTAN,40.760753,-73.983525,Midtown-Midtown South
BRONX,40.881594,-73.921631,Spuyten Duyvil-Kingsbridge
MANHATTAN,40.756998,-73.97831,Midtown-Midtown South
MANHATTAN,40.717876,-74.008939,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.748938,-73.98573,Midtown-Midtown South
MANHATTAN,40.783933,-73.954447,Upper East Side-Carnegie Hill
QUEENS,40.709678,-73.830043,Kew Gardens
MANHATTAN,40.738851,-73.988983,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.757265,-73.960753,Turtle Bay-East Midtown
MANHATTAN,40.783559,-73.981721,Upper West Side
MANHATTAN,40.789089,-73.978372,Upper West Side
MANHATTAN,40.820379,-73.940137,Central Harlem North-Polo Grounds
MANHATTAN,40.738682,-73.980709,Murray Hill-Kips Bay
MANHATTAN,40.744648,-73.992937,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.733732,-73.994313,West Village
MANHATTAN,40.755352,-73.983732,Midtown-Midtown South
MANHATTAN,40.745869,-73.988635,Midtown-Midtown South
MANHATTAN,40.741335,-73.989744,Hudson Yards-Chelsea-Flatiron-Union Square
BROOKLYN,40.578926,-73.972101,West Brighton
MANHATTAN,40.742354,-73.999098,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.782661,-73.979306,Upper West Side
BROOKLYN,40.696324,-73.992564,Brooklyn Heights-Cobble Hill
MANHATTAN,40.737539,-74.004561,West Village
MANHATTAN,40.748651,-73.978071,Murray Hill-Kips Bay
MANHATTAN,40.733024,-73.990691,West Village
MANHATTAN,40.760678,-73.966476,Turtle Bay-East Midtown
MANHATTAN,40.741148,-73.990686,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.759228,-73.986572,Midtown-Midtown South
MANHATTAN,40.751238,-73.973497,Turtle Bay-East Midtown
MANHATTAN,40.753991,-73.997726,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.791033,-73.97918,Upper West Side
MANHATTAN,40.716525,-74.014815,Battery Park City-Lower Manhattan
MANHATTAN,40.782223,-73.948299,Yorkville
MANHATTAN,40.78986,-73.978097,Upper West Side
MANHATTAN,40.756227,-73.979516,Midtown-Midtown South
BRONX,40.822437,-73.906125,Morrisania-Melrose
MANHATTAN,40.805841,-73.961751,Morningside Heights
MANHATTAN,40.736963,-73.992909,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.817647,-73.938264,Central Harlem North-Polo Grounds
MANHATTAN,40.780034,-73.957313,Upper East Side-Carnegie Hill
MANHATTAN,40.783553,-73.958936,Upper East Side-Carnegie Hill
MANHATTAN,40.765949,-73.953712,Lenox Hill-Roosevelt Island
MANHATTAN,40.75686,-73.977126,Midtown-Midtown South
MANHATTAN,40.751677,-73.988234,Midtown-Midtown South
MANHATTAN,40.745267,-73.982652,Murray Hill-Kips Bay
MANHATTAN,40.750503,-73.990966,Midtown-Midtown South
MANHATTAN,40.763737,-73.981745,Midtown-Midtown South
MANHATTAN,40.77789,-73.955878,Upper East Side-Carnegie Hill
QUEENS,40.754848,-73.844856,park-cemetery-etc-Queens
MANHATTAN,40.803788,-73.947892,Central Harlem South
MANHATTAN,40.759136,-73.968333,Turtle Bay-East Midtown
MANHATTAN,40.754523,-73.989244,Midtown-Midtown South
MANHATTAN,40.717384,-74.014166,Battery Park City-Lower Manhattan
MANHATTAN,40.796965,-73.969308,Upper West Side
MANHATTAN,40.74855,-73.980284,Murray Hill-Kips Bay
MANHATTAN,40.749471,-73.991724,Midtown-Midtown South
MANHATTAN,40.758509,-73.990745,Clinton
MANHATTAN,40.742743,-73.990401,Hudson Yards-Chelsea-Flatiron-Union Square
QUEENS,40.765714,-73.831084,Flushing
MANHATTAN,40.808098,-73.964133,Morningside Heights
MANHATTAN,40.766129,-73.956066,Lenox Hill-Roosevelt Island
MANHATTAN,40.724159,-73.994404,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.793004,-73.969938,Upper West Side
MANHATTAN,40.755801,-73.97874,Midtown-Midtown South
MANHATTAN,40.745293,-73.992555,Midtown-Midtown South
MANHATTAN,40.755828,-73.966912,Turtle Bay-East Midtown
MANHATTAN,40.735453,-73.991549,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.75542,-73.981429,Midtown-Midtown South
MANHATTAN,40.790559,-73.953814,East Harlem South
MANHATTAN,40.746946,-73.977061,Murray Hill-Kips Bay
MANHATTAN,40.748754,-73.973632,Turtle Bay-East Midtown
MANHATTAN,40.742321,-73.991429,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.775115,-73.949297,Yorkville
MANHATTAN,40.73937,-73.997525,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.797587,-73.967801,Upper West Side
MANHATTAN,40.783134,-73.954358,Upper East Side-Carnegie Hill
MANHATTAN,40.766824,-73.95965,Lenox Hill-Roosevelt Island
MANHATTAN,40.761042,-73.971176,Midtown-Midtown South
MANHATTAN,40.77089,-73.953304,Lenox Hill-Roosevelt Island
MANHATTAN,40.750992,-73.978485,Murray Hill-Kips Bay
MANHATTAN,40.769146,-73.951179,Lenox Hill-Roosevelt Island
MANHATTAN,40.857413,-73.929432,Washington Heights North
BRONX,40.853346,-73.891611,East Tremont
MANHATTAN,40.799816,-73.969866,Upper West Side
MANHATTAN,40.793116,-73.968161,Upper West Side
MANHATTAN,40.752072,-73.983466,Midtown-Midtown South
MANHATTAN,40.745749,-73.991764,Midtown-Midtown South
MANHATTAN,40.789537,-73.979426,Upper West Side
MANHATTAN,40.745059,-73.98494,Midtown-Midtown South
MANHATTAN,40.765826,-73.954481,Lenox Hill-Roosevelt Island
BRONX,40.814392,-73.923748,Mott Haven-Port Morris
MANHATTAN,40.7509,-73.982131,Murray Hill-Kips Bay
MANHATTAN,40.768585,-73.987271,Clinton
MANHATTAN,40.747838,-74.002497,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.791002,-73.976299,Upper West Side
MANHATTAN,40.77084,-73.982829,Lincoln Square
BROOKLYN,40.619626,-73.955251,Midwood
MANHATTAN,40.703954,-74.011592,Battery Park City-Lower Manhattan
MANHATTAN,40.733241,-73.993148,West Village
MANHATTAN,40.765776,-73.98465,Clinton
QUEENS,40.704033,-73.798463,Jamaica
MANHATTAN,40.829759,-73.948034,Hamilton Heights
MANHATTAN,40.758828,-73.973978,Midtown-Midtown South
MANHATTAN,40.760835,-73.968888,Turtle Bay-East Midtown
MANHATTAN,40.770066,-73.982859,Lincoln Square
MANHATTAN,40.787193,-73.979084,Upper West Side
MANHATTAN,40.774919,-73.982745,Lincoln Square
BROOKLYN,40.719149,-73.962994,North Side-South Side
MANHATTAN,40.732823,-73.987508,East Village
MANHATTAN,40.746983,-73.983193,Midtown-Midtown South
MANHATTAN,40.755918,-73.986349,Midtown-Midtown South
MANHATTAN,40.777807,-73.988717,Lincoln Square
MANHATTAN,40.775928,-73.977365,Lincoln Square
MANHATTAN,40.766481,-73.981809,Midtown-Midtown South
MANHATTAN,40.772105,-73.97897,Lincoln Square
MANHATTAN,40.834787,-73.946852,Washington Heights South
MANHATTAN,40.755219,-73.979062,Midtown-Midtown South
MANHATTAN,40.713053,-73.985045,Lower East Side
MANHATTAN,40.782025,-73.980956,Upper West Side
MANHATTAN,40.758754,-73.978692,Midtown-Midtown South
MANHATTAN,40.795346,-73.962013,Upper West Side
MANHATTAN,40.754559,-73.989374,Midtown-Midtown South
MANHATTAN,40.767121,-73.970914,Upper East Side-Carnegie Hill
MANHATTAN,40.772996,-73.949252,Yorkville
BROOKLYN,40.668293,-73.979237,Park Slope-Gowanus
MANHATTAN,40.741058,-73.99603,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.716292,-74.009455,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.75922,-73.965059,Turtle Bay-East Midtown
MANHATTAN,40.78177,-73.953918,Upper East Side-Carnegie Hill
BROOKLYN,40.692868,-73.988154,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MANHATTAN,40.791138,-73.953388,East Harlem South
MANHATTAN,40.758393,-73.981537,Midtown-Midtown South
MANHATTAN,40.764639,-73.966113,Upper East Side-Carnegie Hill
MANHATTAN,40.723083,-74.008034,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.793242,-73.966301,Upper West Side
QUEENS,40.675427,-73.76903,Springfield Gardens North
MANHATTAN,40.805142,-73.963059,Morningside Heights
MANHATTAN,40.811838,-73.935437,East Harlem North
MANHATTAN,40.782473,-73.955513,Upper East Side-Carnegie Hill
MANHATTAN,40.759758,-73.993669,Clinton
MANHATTAN,40.787194,-73.973873,Upper West Side
MANHATTAN,40.739497,-73.976624,Murray Hill-Kips Bay
BROOKLYN,40.693307,-73.991634,Brooklyn Heights-Cobble Hill
MANHATTAN,40.754873,-74.002635,Hudson Yards-Chelsea-Flatiron-Union Square
BRONX,40.832232,-73.919655,East Concourse-Concourse Village
MANHATTAN,40.722424,-73.993225,Chinatown
MANHATTAN,40.78731,-73.974144,Upper West Side
MANHATTAN,40.789092,-73.977715,Upper West Side
MANHATTAN,40.780093,-73.961029,Upper East Side-Carnegie Hill
MANHATTAN,40.782692,-73.959153,Upper East Side-Carnegie Hill
MANHATTAN,40.713314,-74.007759,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.763863,-73.968164,Upper East Side-Carnegie Hill
MANHATTAN,40.746816,-73.98364,Midtown-Midtown South
QUEENS,40.779172,-73.78107,Ft. Totten-Bay Terrace-Clearview
MANHATTAN,40.711313,-74.008661,Battery Park City-Lower Manhattan
BRONX,40.843469,-73.911831,Mount Hope
BROOKLYN,40.631801,-73.945371,Flatbush
MANHATTAN,40.777917,-73.963041,Upper East Side-Carnegie Hill
BROOKLYN,40.696154,-73.991367,Brooklyn Heights-Cobble Hill
MANHATTAN,40.791737,-73.938508,East Harlem South
MANHATTAN,40.761104,-73.957726,Lenox Hill-Roosevelt Island
MANHATTAN,40.718425,-74.003932,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.800707,-73.96633,Morningside Heights
MANHATTAN,40.760701,-73.970671,Turtle Bay-East Midtown
MANHATTAN,40.728525,-73.983869,East Village
MANHATTAN,40.77615,-73.957615,Upper East Side-Carnegie Hill
MANHATTAN,40.790662,-73.97805,Upper West Side
MANHATTAN,40.737666,-73.993469,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.766611,-73.953199,Lenox Hill-Roosevelt Island
MANHATTAN,40.791582,-73.968548,Upper West Side
MANHATTAN,40.763987,-73.97111,Upper East Side-Carnegie Hill
MANHATTAN,40.753315,-73.980993,Murray Hill-Kips Bay
MANHATTAN,40.751842,-73.98631,Midtown-Midtown South
MANHATTAN,40.777853,-73.959438,Upper East Side-Carnegie Hill
MANHATTAN,40.777517,-73.95092,Yorkville
MANHATTAN,40.734043,-73.996965,West Village
MANHATTAN,40.775065,-73.988634,Lincoln Square
STATEN ISLAND,40.625527,-74.092492,Grymes Hill-Clifton-Fox Hills
MANHATTAN,40.754952,-73.991467,Clinton
MANHATTAN,40.746744,-73.981576,Murray Hill-Kips Bay
MANHATTAN,40.776112,-73.957565,Upper East Side-Carnegie Hill
MANHATTAN,40.741908,-73.98261,Gramercy
MANHATTAN,40.794387,-73.94682,East Harlem South
MANHATTAN,40.737143,-73.986483,Gramercy
BROOKLYN,40.576998,-73.968383,West Brighton
QUEENS,40.737813,-73.781534,Fresh Meadows-Utopia
MANHATTAN,40.706595,-74.009861,Battery Park City-Lower Manhattan
MANHATTAN,40.769267,-73.982963,Lincoln Square
MANHATTAN,40.770201,-73.961652,Upper East Side-Carnegie Hill
MANHATTAN,40.763767,-73.971269,Upper East Side-Carnegie Hill
MANHATTAN,40.746967,-73.990826,Midtown-Midtown South
MANHATTAN,40.753755,-73.988623,Midtown-Midtown South
MANHATTAN,40.80449,-73.967867,Morningside Heights
MANHATTAN,40.759432,-73.977122,Midtown-Midtown South
MANHATTAN,40.706449,-74.012761,Battery Park City-Lower Manhattan
BROOKLYN,40.637415,-73.972966,Kensington-Ocean Parkway
MANHATTAN,40.772657,-73.979269,Lincoln Square
MANHATTAN,40.726431,-74.009009,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.7792,-73.957906,Upper East Side-Carnegie Hill
BRONX,40.847236,-73.888101,East Tremont
MANHATTAN,40.714022,-74.006442,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.761887,-73.968421,Turtle Bay-East Midtown
MANHATTAN,40.771741,-73.988775,Lincoln Square
MANHATTAN,40.787252,-73.973963,Upper West Side
MANHATTAN,40.786246,-73.968659,Upper West Side
MANHATTAN,40.773195,-73.946028,Yorkville
MANHATTAN,40.809427,-73.965375,Morningside Heights
MANHATTAN,40.789874,-73.97614,Upper West Side
MANHATTAN,40.771849,-73.949383,Yorkville
MANHATTAN,40.752726,-73.974793,Turtle Bay-East Midtown
MANHATTAN,40.773124,-73.95457,Lenox Hill-Roosevelt Island
MANHATTAN,40.787889,-73.955329,East Harlem South
MANHATTAN,40.738548,-73.982495,Gramercy
MANHATTAN,40.76673,-73.957495,Lenox Hill-Roosevelt Island
MANHATTAN,40.746069,-73.982071,Murray Hill-Kips Bay
MANHATTAN,40.796397,-73.969886,Upper West Side
MANHATTAN,40.780776,-73.982664,Upper West Side
MANHATTAN,40.772551,-73.962755,Upper East Side-Carnegie Hill
MANHATTAN,40.769636,-73.989816,Clinton
MANHATTAN,40.763143,-73.978399,Midtown-Midtown South
MANHATTAN,40.799137,-73.933109,East Harlem North
MANHATTAN,40.782759,-73.975308,Upper West Side
MANHATTAN,40.79854,-73.959678,Morningside Heights
MANHATTAN,40.778461,-73.949104,Yorkville
BRONX,40.87719,-73.889569,Van Cortlandt Village
BROOKLYN,40.572765,-73.996404,Seagate-Coney Island
MANHATTAN,40.745112,-73.994919,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.800159,-73.969642,Upper West Side
MANHATTAN,40.787766,-73.975227,Upper West Side
MANHATTAN,40.857983,-73.927237,Washington Heights North
MANHATTAN,40.770611,-73.956579,Lenox Hill-Roosevelt Island
MANHATTAN,40.717693,-73.978081,Lower East Side
QUEENS,40.735561,-73.860251,Corona
MANHATTAN,40.776111,-73.963992,Upper East Side-Carnegie Hill
MANHATTAN,40.765026,-73.957373,Lenox Hill-Roosevelt Island
QUEENS,40.676286,-73.77583,Springfield Gardens North
MANHATTAN,40.76666,-73.953271,Lenox Hill-Roosevelt Island
MANHATTAN,40.739118,-73.977941,Murray Hill-Kips Bay
MANHATTAN,40.743202,-74.004746,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.750113,-73.996329,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.73692,-73.980695,Gramercy
MANHATTAN,40.766107,-73.977278,Midtown-Midtown South
MANHATTAN,40.782028,-73.981747,Upper West Side
MANHATTAN,40.704215,-74.011559,Battery Park City-Lower Manhattan
MANHATTAN,40.756861,-73.961046,Turtle Bay-East Midtown
MANHATTAN,40.763527,-73.975279,Midtown-Midtown South
MANHATTAN,40.781295,-73.95984,Upper East Side-Carnegie Hill
MANHATTAN,40.752747,-73.983148,Midtown-Midtown South
MANHATTAN,40.783473,-73.977002,Upper West Side
MANHATTAN,40.752619,-73.994503,Hudson Yards-Chelsea-Flatiron-Union Square
BRONX,40.836926,-73.857433,Parkchester
MANHATTAN,40.757501,-73.968893,Turtle Bay-East Midtown
MANHATTAN,40.757435,-73.9696,Turtle Bay-East Midtown
BROOKLYN,40.696019,-73.995478,Brooklyn Heights-Cobble Hill
BRONX,40.8889,-73.913036,North Riverdale-Fieldston-Riverdale
QUEENS,40.744416,-73.886097,Elmhurst
MANHATTAN,40.722581,-73.99776,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.722117,-74.000541,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.790165,-73.965786,Upper West Side
MANHATTAN,40.76358,-73.979474,Midtown-Midtown South
BROOKLYN,40.692829,-73.986228,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MANHATTAN,40.755738,-73.977152,Midtown-Midtown South
BRONX,40.875404,-73.829113,Co-op City
MANHATTAN,40.785482,-73.956017,Upper East Side-Carnegie Hill
BROOKLYN,40.692184,-73.985753,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MANHATTAN,40.777622,-73.979315,Lincoln Square
MANHATTAN,40.751391,-73.969917,Turtle Bay-East Midtown
MANHATTAN,40.737876,-73.984841,Gramercy
MANHATTAN,40.779002,-73.958051,Upper East Side-Carnegie Hill
MANHATTAN,40.789312,-73.966776,Upper West Side
MANHATTAN,40.743107,-73.979744,Murray Hill-Kips Bay
MANHATTAN,40.796512,-73.971898,Upper West Side
MANHATTAN,40.785821,-73.970616,Upper West Side
MANHATTAN,40.762605,-73.97846,Midtown-Midtown South
MANHATTAN,40.753194,-73.969757,Turtle Bay-East Midtown
QUEENS,40.75805,-73.834215,Flushing
MANHATTAN,40.746077,-73.982092,Midtown-Midtown South
MANHATTAN,40.762495,-73.975193,Midtown-Midtown South
MANHATTAN,40.753551,-73.971226,Turtle Bay-East Midtown
MANHATTAN,40.770863,-73.964013,Upper East Side-Carnegie Hill
MANHATTAN,40.799825,-73.970278,Upper West Side
MANHATTAN,40.706787,-74.005114,Battery Park City-Lower Manhattan
MANHATTAN,40.75483,-73.970334,Turtle Bay-East Midtown
MANHATTAN,40.754909,-73.966631,Turtle Bay-East Midtown
MANHATTAN,40.760798,-73.973104,Midtown-Midtown South
MANHATTAN,40.790898,-73.965255,Upper West Side
MANHATTAN,40.75818,-73.964676,Turtle Bay-East Midtown
MANHATTAN,40.782279,-73.97628,Upper West Side
MANHATTAN,40.787393,-73.978958,Upper West Side
MANHATTAN,40.741734,-73.976403,Murray Hill-Kips Bay
MANHATTAN,40.742952,-73.996889,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.768129,-73.962743,Upper East Side-Carnegie Hill
MANHATTAN,40.776626,-73.982135,Lincoln Square
MANHATTAN,40.755018,-73.975568,Midtown-Midtown South
MANHATTAN,40.764966,-73.978708,Midtown-Midtown South
BRONX,40.824046,-73.862616,Soundview-Castle Hill-Clason Point-Harding Park
MANHATTAN,40.736354,-73.993379,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.77984,-73.982473,Lincoln Square
MANHATTAN,40.750017,-73.991345,Midtown-Midtown South
BROOKLYN,40.692048,-73.964181,Clinton Hill
MANHATTAN,40.771054,-73.967749,Upper East Side-Carnegie Hill
MANHATTAN,40.781624,-73.960331,Upper East Side-Carnegie Hill
BROOKLYN,40.692898,-73.98431,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MANHATTAN,40.727988,-74.000032,West Village
MANHATTAN,40.785246,-73.957696,Upper East Side-Carnegie Hill
MANHATTAN,40.750504,-73.978865,Murray Hill-Kips Bay
MANHATTAN,40.748296,-73.988465,Midtown-Midtown South
QUEENS,40.733991,-73.862434,Rego Park
MANHATTAN,40.763469,-73.973615,Midtown-Midtown South
MANHATTAN,40.733043,-73.99116,West Village
MANHATTAN,40.753904,-73.975514,Turtle Bay-East Midtown
MANHATTAN,40.770203,-73.959543,Lenox Hill-Roosevelt Island
MANHATTAN,40.739417,-73.999614,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.752328,-73.987461,Midtown-Midtown South
MANHATTAN,40.791371,-73.941907,East Harlem South
MANHATTAN,40.758615,-73.967658,Turtle Bay-East Midtown
MANHATTAN,40.751018,-73.984758,Midtown-Midtown South
MANHATTAN,40.819549,-73.955485,Manhattanville
MANHATTAN,40.768235,-73.968826,Upper East Side-Carnegie Hill
MANHATTAN,40.775424,-73.96214,Upper East Side-Carnegie Hill
MANHATTAN,40.775125,-73.984204,Lincoln Square
QUEENS,40.72389,-73.855697,Forest Hills
MANHATTAN,40.796595,-73.972613,Upper West Side
QUEENS,40.748707,-73.942316,Hunters Point-Sunnyside-West Maspeth
MANHATTAN,40.771485,-73.980421,Lincoln Square
MANHATTAN,40.745339,-73.984734,Midtown-Midtown South
MANHATTAN,40.744003,-73.98948,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.713764,-73.998669,Chinatown
MANHATTAN,40.787901,-73.980962,Upper West Side
MANHATTAN,40.762384,-73.97228,Midtown-Midtown South
MANHATTAN,40.70627,-74.012909,Battery Park City-Lower Manhattan
MANHATTAN,40.705689,-74.011455,Battery Park City-Lower Manhattan
MANHATTAN,40.731722,-73.983424,Gramercy
MANHATTAN,40.779425,-73.944597,Yorkville
MANHATTAN,40.78213,-73.984917,Upper West Side
MANHATTAN,40.747861,-73.982875,Midtown-Midtown South
QUEENS,40.736098,-73.871739,Elmhurst
MANHATTAN,40.763394,-73.969439,Upper East Side-Carnegie Hill
QUEENS,40.755876,-73.836155,Flushing
MANHATTAN,40.763283,-73.964879,Lenox Hill-Roosevelt Island
MANHATTAN,40.74038,-73.988867,Hudson Yards-Chelsea-Flatiron-Union Square
BROOKLYN,40.695468,-73.99678,Brooklyn Heights-Cobble Hill
MANHATTAN,40.747387,-73.972359,Murray Hill-Kips Bay
BRONX,40.820559,-73.852648,Soundview-Castle Hill-Clason Point-Harding Park
MANHATTAN,40.745818,-73.9763,Murray Hill-Kips Bay
MANHATTAN,40.746531,-73.98782,Midtown-Midtown South
QUEENS,40.741571,-73.905116,Woodside
MANHATTAN,40.767905,-73.958332,Lenox Hill-Roosevelt Island
MANHATTAN,40.752011,-73.969462,Turtle Bay-East Midtown
MANHATTAN,40.808626,-73.965322,Morningside Heights
MANHATTAN,40.749256,-73.98648,Midtown-Midtown South
QUEENS,40.711518,-73.82664,Kew Gardens
MANHATTAN,40.765211,-73.953886,Lenox Hill-Roosevelt Island
BRONX,40.880741,-73.918291,Spuyten Duyvil-Kingsbridge
MANHATTAN,40.788047,-73.947258,East Harlem South
MANHATTAN,40.780225,-73.984159,Lincoln Square
MANHATTAN,40.757848,-73.991229,Clinton
MANHATTAN,40.814032,-73.948339,Central Harlem North-Polo Grounds
MANHATTAN,40.764578,-73.993509,Clinton
MANHATTAN,40.765301,-73.969665,Upper East Side-Carnegie Hill
MANHATTAN,40.80361,-73.94225,East Harlem North
MANHATTAN,40.754063,-73.993875,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.789686,-73.954451,East Harlem South
MANHATTAN,40.83383,-73.944356,Washington Heights South
MANHATTAN,40.731454,-73.986957,East Village
MANHATTAN,40.749581,-73.975324,Murray Hill-Kips Bay
MANHATTAN,40.717774,-74.014206,Battery Park City-Lower Manhattan
MANHATTAN,40.784167,-73.949016,Yorkville
MANHATTAN,40.761805,-73.986925,Clinton
MANHATTAN,40.746898,-73.988419,Midtown-Midtown South
MANHATTAN,40.740558,-73.991238,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.745092,-73.982804,Midtown-Midtown South
MANHATTAN,40.762515,-73.968555,Upper East Side-Carnegie Hill
MANHATTAN,40.860004,-73.929093,Washington Heights North
MANHATTAN,40.781333,-73.978082,Upper West Side
MANHATTAN,40.781235,-73.960616,Upper East Side-Carnegie Hill
MANHATTAN,40.781217,-73.957544,Upper East Side-Carnegie Hill
MANHATTAN,40.764193,-73.970644,Upper East Side-Carnegie Hill
MANHATTAN,40.776376,-73.980355,Lincoln Square
MANHATTAN,40.818783,-73.936746,Central Harlem North-Polo Grounds
QUEENS,40.732291,-73.810097,Pomonok-Flushing Heights-Hillcrest
